ano,area,producao,valor
1,2179.2,313,51.03
2,2310.77,484.8,44.32
3,2201.55,288.2,56.7
4,2212.87,392.72,74.42
5,2217.666,329.44,115.15
6,2152.397,425.12,114.76
7,1938.059,360.71,129.76
8,2170.1644,459.921,144.56
9,2092.909,394.699,133.46
10,2079.43,480.948,177.2
11,2056.4065,434.842,296.38
12,2049.674,508.264,201.76
13,2016.4252,491.516,134.78
14,1947.1998,453.418,177.97
15,1922.0743,432.35,137.2
16,1950.6776,513.692,142.98
17,1863.1258,449.7,146.03
18,1864.3228,616.575,120.16
