ano,CENTRO-OESTE,OUTROS,NORTE,SUL,NORDESTE, SUDESTE
2001,350.0,140.0,2160.0,540.0,2190.0,25920.0
2002,490.0,420.0,2410.0,2340.0,2300.0,40520.0
2003,430.0,320.0,2720.0,1970.0,1780.0,21600.0
2004,310.0,475.0,1980.0,2526.0,2279.0,31702.0
2005,310.0,475.0,2102.0,1435.0,1812.0,26810.0
2006,250.0,490.0,1543.0,2248.0,2251.0,35730.0
2007,153.0,404.0,1748.0,1732.0,2342.0,29692.0
2008,138.0,498.6,2109.0,2608.0,2141.0,38497.4
2009,141.0,440.0,1775.0,1467.0,1873.5,33773.4
2010,203.1,503.3,2597.6,2284.0,2292.7,40214.1
2011,137.8,476.6,1612.3,1842.0,2290.0,37125.5
2012,371.5,126.5,1534.0,1580.0,2149.6,45064.8
2013,437.0,134.5,1478.7,1650.0,1803.3,43648.1
2014,402.4,132.7,1546.0,558.6,2371.3,40330.9
2015,354.1,128.3,1740.5,1290.0,2345.7,37376.4
2016,352.2,164.8,1642.0,1047.0,2093.3,46069.9
2017,281.7,97.1,1952.1,1210.0,3358.0,38071.1
2018,299.6,81.7,1978.3,1000.0,4550.2,53747.7
2019,354.7,152.1,2122.1,1050.0,3036.5,44201.2
