ano,valor,estado
1,1910.0,RO
2,2100.0,RO
3,2500.0,RO
4,1760.0,RO
5,1772.0,RO
6,1263.0,RO
7,1482.0,RO
8,1876.0,RO
9,1547.0,RO
10,2369.0,RO
11,1428.3,RO
12,1367.0,RO
13,1357.0,RO
14,1477.3,RO
15,1723.9,RO
16,1626.9,RO
17,1938.2,RO
18,1978.3,RO
1,0,AM
2,0,AM
3,0,AM
4,0,AM
5,0,AM
6,0,AM
7,0,AM
8,0,AM
9,0,AM
10,0,AM
11,0,AM
12,0,AM
13,0,AM
14,0,AM
15,0,AM
16,6.0,AM
17,7.5,AM
18,0,AM
1,250.0,PA
2,310.0,PA
3,220.0,PA
4,220.0,PA
5,330.0,PA
6,280.0,PA
7,266.0,PA
8,233.0,PA
9,228.0,PA
10,228.6,PA
11,184.0,PA
12,167.0,PA
13,121.7,PA
14,68.7,PA
15,16.6,PA
16,9.1,PA
17,6.4,PA
18,0,PA
1,2190.0,BA
2,2300.0,BA
3,1780.0,BA
4,2279.0,BA
5,1812.0,BA
6,2251.0,BA
7,2342.0,BA
8,2141.0,BA
9,1873.5,BA
10,2292.7,BA
11,2290.0,BA
12,2149.6,BA
13,1803.3,BA
14,2371.3,BA
15,2345.7,BA
16,2093.3,BA
17,3358.0,BA
18,4550.2,BA
1,350.0,MT
2,490.0,MT
3,430.0,MT
4,310.0,MT
5,310.0,MT
6,250.0,MT
7,153.0,MT
8,138.0,MT
9,141.0,MT
10,203.1,MT
11,137.8,MT
12,124.1,MT
13,171.5,MT
14,165.8,MT
15,127.9,MT
16,125.4,MT
17,91.5,MT
18,104.2,MT
1,0,GO
2,0,GO
3,0,GO
4,0,GO
5,0,GO
6,0,GO
7,0,GO
8,0,GO
9,0,GO
10,0,GO
11,0,GO
12,247.4,GO
13,265.5,GO
14,236.6,GO
15,226.2,GO
16,226.8,GO
17,190.2,GO
18,195.4,GO
1,14690.0,MG
2,25140.0,MG
3,12050.0,MG
4,18777.0,MG
5,15219.0,MG
6,21987.0,MG
7,16473.0,MG
8,23581.0,MG
9,19880.0,MG
10,25155.0,MG
11,22181.0,MG
12,26944.0,MG
13,27660.0,MG
14,22644.1,MG
15,22302.9,MG
16,30724.1,MG
17,24445.3,MG
18,33360.4,MG
1,7550.0,ES
2,9325.0,ES
3,6610.0,ES
4,6795.0,ES
5,8070.0,ES
6,9009.0,ES
7,10306.0,ES
8,10230.0,ES
9,10205.0,ES
10,10147.0,ES
11,11573.0,ES
12,12502.0,ES
13,11697.0,ES
14,12805.7,ES
15,10700.0,ES
16,8967.4,ES
17,8865.0,ES
18,13739.0,ES
1,160.0,RJ
2,255.0,RJ
3,130.0,RJ
4,260.0,RJ
5,298.0,RJ
6,264.0,RJ
7,281.0,RJ
8,266.4,RJ
9,265.4,RJ
10,250.1,RJ
11,260.0,RJ
12,262.2,RJ
13,281.0,RJ
14,292.3,RJ
15,309.6,RJ
16,347.4,RJ
17,349.0,RJ
18,346.0,RJ
1,3520.0,SP
2,5800.0,SP
3,2810.0,SP
4,5870.0,SP
5,3223.0,SP
6,4470.0,SP
7,2632.0,SP
8,4420.0,SP
9,3423.0,SP
10,4662.0,SP
11,3111.5,SP
12,5356.6,SP
13,4010.1,SP
14,4588.8,SP
15,4063.9,SP
16,6031.0,SP
17,4411.8,SP
18,6302.3,SP
1,540.0,PR
2,2340.0,PR
3,1970.0,PR
4,2526.0,PR
5,1435.0,PR
6,2248.0,PR
7,1732.0,PR
8,2608.0,PR
9,1467.0,PR
10,2284.0,PR
11,1842.0,PR
12,1580.0,PR
13,1650.0,PR
14,558.6,PR
15,1290.0,PR
16,1047.0,PR
17,1210.0,PR
18,1000.0,PR
