ano,valor,estado
1,14690.0,MG
2,25140.0,MG
3,12050.0,MG
4,18777.0,MG
5,15219.0,MG
6,21987.0,MG
7,16473.0,MG
8,23581.0,MG
9,19880.0,MG
10,25155.0,MG
11,22181.0,MG
12,26944.0,MG
13,27660.0,MG
14,22644.1,MG
15,22302.9,MG
16,30724.1,MG
17,24445.3,MG
18,33360.4,MG
1,7550.0,ES
2,9325.0,ES
3,6610.0,ES
4,6795.0,ES
5,8070.0,ES
6,9009.0,ES
7,10306.0,ES
8,10230.0,ES
9,10205.0,ES
10,10147.0,ES
11,11573.0,ES
12,12502.0,ES
13,11697.0,ES
14,12805.7,ES
15,10700.0,ES
16,8967.4,ES
17,8865.0,ES
18,13739.0,ES
1,160.0,RJ
2,255.0,RJ
3,130.0,RJ
4,260.0,RJ
5,298.0,RJ
6,264.0,RJ
7,281.0,RJ
8,266.4,RJ
9,265.4,RJ
10,250.1,RJ
11,260.0,RJ
12,262.2,RJ
13,281.0,RJ
14,292.3,RJ
15,309.6,RJ
16,347.4,RJ
17,349.0,RJ
18,346.0,RJ
1,3520.0,SP
2,5800.0,SP
3,2810.0,SP
4,5870.0,SP
5,3223.0,SP
6,4470.0,SP
7,2632.0,SP
8,4420.0,SP
9,3423.0,SP
10,4662.0,SP
11,3111.5,SP
12,5356.6,SP
13,4010.1,SP
14,4588.8,SP
15,4063.9,SP
16,6031.0,SP
17,4411.8,SP
18,6302.3,SP
